Timestamp,Do you acknowledge the agreement above,Are you an undergrad student at UC San Diego,How many academic quarters have you studied at UCSD? (Summer sessions and WI21 excluded),What is your average study time during the pandemic for each class per week (numbers in hours)?,What is your average study time before the pandemic for each class per week (numbers in hours)? FA19 and WI20 data will be preferred. Please put N/A if enter after FA20.,Do you think remote learning makes you spend more time on studying?,How do you rank your overall remote learning experience after pandemic (since SP20)?,How do you think the online learning affect your academic performance?,What was your average GPA before the pandemic? Please put N/A if enter after FA20.,What is you average GPA during the pandemic?,What is your expected GPA in WI21?
2/13/2021 15:44:09,Yes,YES,10,4,2,5,4,3,3.1,3.5,3.7
2/14/2021 0:50:27,Yes,YES,2,7,N/A,3,4,4,N/A,3.3,A
2/17/2021 1:51:07,Yes,YES,1,20,N/A,5,3,2,N/A,2.9,3.5
3/1/2021 12:48:10,Yes,YES,1,10,8,4,3,4,N/A,4,3.8
3/1/2021 13:01:13,Yes,YES,3,5,N/A,5,3,3,N/A,3.8,3
3/1/2021 13:01:28,Yes,YES,3,30,N/A,4,3,2,3.67,3.6,3.3
3/1/2021 13:01:47,Yes,YES,2,3,2,4,4,3,3.4,3.33,3.5
3/1/2021 13:03:13,Yes,YES,5,10,10,3,4,4,na,3.7,3.5
3/1/2021 13:09:01,Yes,YES,2,55,35,5,2,3,N/A,4,3.8
3/1/2021 13:10:34,Yes,YES,2,8,6,5,4,3,,,
3/1/2021 13:21:26,Yes,YES,9,49,14,5,4,5,3.5,3.5,3.5
3/1/2021 13:40:38,Yes,YES,10,6,6,2,3,3,3.8,3.9,4
3/1/2021 14:25:20,Yes,YES,1,6.5,7,3,4,3,3.6,3.6,4
3/1/2021 14:31:10,Yes,YES,4,8,6,4,2,2,4,3.6,idk im sorry 
3/1/2021 16:21:00,Yes,YES,16,5,n/a,4,4,4,n/a,3.8,3.8
3/1/2021 19:54:16,Yes,YES,1,4,3,4,2,3,N/A,3.75,3.8
3/1/2021 20:04:29,Yes,YES,11,8,7,5,3,3,3.9,3.9,3.9
3/1/2021 21:24:52,Yes,YES,1,2,2,1,1,3,,,4
3/1/2021 22:16:15,Yes,YES,10,4-7,5-10,2,2,3,3.2,3.99,4
3/3/2021 1:22:00,Yes,YES,2,12,N/A,5,1,1,N/A,,
3/5/2021 1:08:09,Yes,YES,5,4,4,3,1,2,3.96,4,3.9
